mcs,LL contact, std,DD contact,std, LD contact,std, ML contact,std, MD contact,std
0,4.603248,1.371871,5.003876,2.455808,4.463235,1.661313,7.000000,2.971661,7.136364,3.161733
10,4.136910,2.025220,6.178793,3.991254,4.146776,2.193006,7.560606,3.134020,6.850746,3.135039
20,4.149819,1.965664,6.260432,4.244821,4.116227,2.251089,7.545455,2.965365,6.941176,2.999423
30,4.168717,2.028706,6.337193,4.389119,4.045475,2.254768,7.314286,3.575883,6.500000,3.316625
40,4.194737,1.945027,6.253429,4.327216,3.983384,2.213502,7.183099,3.298783,6.571429,3.374575
50,4.155113,1.913021,6.051201,4.155849,3.921766,2.306971,7.785714,3.134567,5.958333,3.159806
60,4.165665,1.954202,6.121082,4.309560,3.896537,2.261275,7.800000,3.082670,5.887324,3.046815
70,4.165954,1.931639,6.113787,4.393327,3.889469,2.265448,7.577465,3.124920,5.840000,3.362697
80,4.274276,1.928378,6.096107,4.380254,3.856518,2.263381,7.388889,2.816398,6.545455,3.322019
90,4.225779,1.952142,6.071260,4.455405,3.831066,2.247514,7.535211,2.577426,6.378788,3.208725
