mcs,LL contact, DD contact, LD contact, ML contact, MD contact
0,3968.000000,5164.000000,7891.000000,455.000000,471.000000
10,4472.000000,7983.000000,9069.000000,499.000000,459.000000
20,4598.000000,8702.000000,9208.000000,498.000000,472.000000
30,4744.000000,9303.000000,9074.000000,512.000000,468.000000
40,4782.000000,9574.000000,9110.000000,510.000000,460.000000
50,4795.000000,9573.000000,8973.000000,545.000000,429.000000
60,4853.000000,9959.000000,8888.000000,546.000000,418.000000
70,4870.000000,10155.000000,8938.000000,538.000000,438.000000
80,5018.000000,10022.000000,8816.000000,532.000000,432.000000
90,5016.000000,10309.000000,8731.000000,535.000000,421.000000
