ID,type,x COM, y COM
2,2,104.480000,24.040000
6,2,125.666667,23.000000
7,2,135.041667,25.666667
8,2,138.576923,23.961538
9,2,142.318182,22.045455
11,2,153.208333,22.541667
14,2,93.761905,27.809524
17,2,109.720000,28.800000
19,2,113.863636,31.545455
20,2,123.750000,28.750000
21,2,128.142857,26.285714
24,2,142.625000,27.541667
25,2,146.720000,27.240000
26,2,151.608696,27.217391
27,2,155.208333,30.708333
28,2,161.434783,23.478261
29,2,165.500000,28.000000
30,2,170.130435,26.869565
31,2,75.000000,33.500000
34,2,87.384615,30.192308
35,2,92.640000,31.960000
36,2,98.761905,31.714286
38,2,108.888889,34.888889
40,2,122.076923,33.576923
41,2,127.400000,32.040000
42,2,132.000000,29.652174
45,2,147.181818,32.045455
46,2,151.608696,32.608696
47,2,159.840000,32.320000
48,2,161.083333,28.250000
49,2,165.000000,33.120000
50,2,171.629630,31.814815
51,2,176.090909,31.772727
52,2,184.461538,35.153846
53,2,71.750000,37.666667
57,2,94.000000,36.391304
58,2,98.960000,39.600000
59,2,98.708333,35.083333
61,2,110.440000,37.920000
63,2,124.153846,37.807692
65,2,131.416667,34.166667
67,2,143.666667,36.291667
68,2,147.826087,36.869565
70,2,155.833333,36.416667
73,2,174.884615,36.769231
74,2,179.518519,37.074074
75,2,184.956522,39.217391
77,2,189.884615,33.923077
78,2,59.863636,42.727273
80,2,72.040000,41.520000
82,2,82.000000,46.125000
83,2,86.800000,43.160000
86,2,104.115385,39.615385
87,2,109.440000,42.320000
89,2,114.840000,44.680000
90,2,119.434783,42.739130
91,2,123.863636,43.090909
94,2,142.695652,42.608696
95,2,146.880000,42.200000
96,2,150.041667,44.625000
97,2,157.000000,41.434783
103,2,186.880000,43.800000
105,2,192.961538,43.076923
106,2,56.869565,47.304348
110,2,76.041667,45.750000
111,2,87.173913,47.565217
113,2,92.375000,46.625000
117,2,113.703704,50.740741
122,2,140.208333,47.250000
124,2,145.500000,47.666667
126,2,154.304348,45.521739
128,2,168.333333,46.208333
