mcs,LL contact, std,DD contact,std, LD contact,std, ML contact,std, MD contact,std
0,2.615621,0.731443,2.768359,1.065371,2.816909,1.094537,4.075000,1.592495,4.030303,1.737609
10,2.024106,0.981669,2.493494,1.445077,2.917008,1.559340,3.795620,1.571362,3.557692,1.758643
20,1.982609,1.002363,2.388235,1.434686,2.904907,1.577562,4.105634,1.689686,2.686957,1.517236
30,1.866029,0.973448,2.338221,1.448527,2.937971,1.596097,4.106383,1.542321,2.692308,1.476086
40,1.853635,0.929326,2.375242,1.466425,2.911839,1.568264,3.958042,1.616671,3.018519,1.586876
50,1.825397,0.947538,2.347065,1.427073,2.922388,1.595966,3.759740,1.611868,2.794643,1.609893
60,1.849308,0.955090,2.295915,1.377314,2.918039,1.548963,3.794702,1.562465,2.881818,1.599613
70,1.854763,0.920720,2.301282,1.409082,2.888959,1.558790,3.834437,1.453156,2.790909,1.640928
80,1.808763,0.945432,2.275008,1.393311,2.899147,1.546686,3.814570,1.524215,2.897196,1.540328
90,1.840995,0.930597,2.276425,1.401295,2.912034,1.578630,3.763158,1.633276,2.767857,1.721618
100,1.814043,0.914310,2.273340,1.413432,2.902156,1.562532,3.843137,1.491228,2.780952,1.579517
110,1.791757,0.930921,2.262934,1.387552,2.887059,1.552958,3.708861,1.588343,2.873786,1.574553
120,1.798673,0.924924,2.278986,1.373413,2.881107,1.535253,3.697368,1.534856,2.981481,1.615787
130,1.797985,0.925324,2.238328,1.310698,2.878795,1.535715,3.796053,1.671506,2.850467,1.521213
140,1.774930,0.923561,2.207498,1.366180,2.872696,1.536465,3.712418,1.523983,2.818182,1.478216
150,1.766990,0.893191,2.230621,1.354222,2.878257,1.536450,3.693333,1.418669,2.902655,1.590706
160,1.784314,0.894415,2.239102,1.378247,2.894326,1.547066,3.675159,1.593044,2.779817,1.498365
170,1.752520,0.901850,2.240995,1.347416,2.868563,1.536391,3.935897,1.587933,2.422018,1.422581
