mcs,LL contact, DD contact, LD contact, ML contact, MD contact
0,5961.000000,7087.000000,15293.000000,489.000000,399.000000
10,4870.000000,8049.000000,20632.000000,520.000000,370.000000
20,4332.000000,7917.000000,21903.000000,583.000000,309.000000
30,3900.000000,7335.000000,23019.000000,579.000000,315.000000
40,3774.000000,7349.000000,22922.000000,566.000000,326.000000
50,3565.000000,7236.000000,23157.000000,579.000000,313.000000
60,3608.000000,7138.000000,23035.000000,573.000000,317.000000
70,3563.000000,7180.000000,22999.000000,579.000000,307.000000
80,3509.000000,6982.000000,23112.000000,576.000000,310.000000
90,3404.000000,7107.000000,23206.000000,572.000000,310.000000
100,3307.000000,7086.000000,23284.000000,588.000000,292.000000
110,3304.000000,6911.000000,23134.000000,586.000000,296.000000
120,3252.000000,6919.000000,23118.000000,562.000000,322.000000
130,3213.000000,6856.000000,23039.000000,577.000000,305.000000
140,3186.000000,6830.000000,23062.000000,568.000000,310.000000
150,3094.000000,6935.000000,22980.000000,554.000000,328.000000
160,3185.000000,6883.000000,23007.000000,577.000000,303.000000
170,3130.000000,6844.000000,22894.000000,614.000000,264.000000
