ID,type,x COM, y COM
2,2,114.285714,24.428571
3,2,119.222222,21.222222
4,2,117.800000,25.300000
5,2,122.571429,24.285714
6,2,125.000000,19.500000
8,2,131.500000,20.000000
9,2,134.500000,19.500000
10,2,136.500000,21.000000
13,2,143.500000,23.500000
15,2,103.000000,24.833333
17,2,107.000000,27.000000
20,2,110.300000,25.400000
26,2,126.714286,22.000000
30,2,138.833333,26.500000
33,2,148.857143,24.000000
35,2,158.666667,29.000000
37,2,90.666667,30.666667
39,2,98.400000,24.800000
42,2,99.750000,28.250000
47,2,123.333333,28.500000
53,2,135.833333,24.000000
54,2,139.750000,22.750000
57,2,145.545455,32.181818
58,2,153.333333,27.777778
61,2,163.333333,33.833333
66,2,84.000000,31.500000
67,2,90.857143,35.428571
69,2,94.900000,29.900000
72,2,97.600000,30.800000
75,2,113.333333,28.333333
76,2,117.875000,30.000000
78,2,120.571429,32.714286
79,2,126.333333,30.666667
81,2,128.200000,23.600000
82,2,131.571429,24.714286
83,2,138.000000,30.500000
84,2,142.000000,29.333333
85,2,145.875000,26.125000
87,2,150.250000,30.375000
88,2,151.500000,33.500000
90,2,159.142857,31.714286
91,2,158.000000,36.500000
94,2,166.125000,33.125000
95,2,168.300000,29.400000
96,2,172.000000,30.000000
98,2,82.000000,33.500000
99,2,86.666667,36.666667
101,2,88.888889,32.444444
104,2,96.250000,32.000000
106,2,103.100000,31.700000
109,2,114.600000,32.800000
112,2,116.666667,36.333333
114,2,126.250000,28.250000
115,2,130.400000,27.200000
116,2,133.444444,28.888889
117,2,137.333333,34.166667
118,2,144.285714,37.142857
123,2,154.500000,36.625000
130,2,168.714286,35.000000
131,2,173.000000,32.000000
134,2,73.000000,38.000000
135,2,77.800000,35.600000
136,2,76.400000,38.800000
142,2,96.250000,38.250000
143,2,105.375000,37.625000
144,2,99.500000,34.625000
146,2,110.500000,39.500000
147,2,110.777778,31.888889
153,2,132.285714,34.142857
154,2,133.000000,36.500000
155,2,134.500000,32.500000
156,2,140.000000,33.000000
163,2,155.142857,29.857143
165,2,164.666667,38.222222
166,2,162.375000,29.375000
171,2,182.000000,37.800000
172,2,178.000000,33.000000
175,2,70.500000,42.000000
178,2,80.000000,40.666667
180,2,94.142857,33.285714
184,2,103.833333,34.666667
185,2,102.875000,42.250000
188,2,117.666667,40.333333
190,2,111.500000,37.000000
191,2,124.333333,34.833333
196,2,137.250000,42.375000
203,2,148.285714,38.000000
204,2,157.750000,42.500000
208,2,170.833333,37.333333
210,2,174.800000,34.400000
215,2,68.000000,44.500000
217,2,75.200000,38.200000
218,2,76.666667,43.333333
219,2,77.000000,46.500000
220,2,84.777778,42.555556
221,2,82.500000,35.875000
224,2,91.272727,40.454545
226,2,96.285714,42.142857
227,2,100.333333,39.250000
232,2,116.000000,42.500000
234,2,121.000000,37.000000
236,2,128.200000,40.100000
237,2,128.833333,36.833333
238,2,132.125000,41.875000
240,2,138.125000,37.875000
243,2,146.666667,42.000000
246,2,151.625000,45.125000
247,2,154.500000,45.000000
249,2,160.875000,40.500000
250,2,164.500000,43.666667
251,2,174.125000,39.875000
252,2,171.500000,45.000000
253,2,177.125000,36.625000
254,2,184.600000,41.200000
257,2,187.777778,45.666667
259,2,192.800000,43.700000
260,2,64.500000,45.000000
264,2,67.750000,47.750000
268,2,81.000000,46.333333
269,2,88.444444,38.111111
272,2,90.750000,42.750000
274,2,93.000000,45.500000
275,2,98.800000,44.400000
276,2,106.111111,43.555556
278,2,111.444444,43.222222
279,2,115.222222,47.000000
280,2,116.500000,45.000000
281,2,120.714286,42.428571
282,2,122.285714,39.571429
283,2,128.090909,44.636364
286,2,133.285714,39.000000
287,2,141.800000,44.600000
288,2,142.400000,40.400000
289,2,140.333333,40.888889
296,2,170.875000,41.000000
298,2,176.000000,44.333333
302,2,179.777778,40.111111
305,2,195.166667,42.333333
307,2,197.500000,44.000000
311,2,60.428571,48.142857
314,2,72.166667,44.333333
315,2,80.200000,49.600000
318,2,84.000000,45.285714
319,2,82.750000,52.250000
321,2,94.500000,47.250000
324,2,100.333333,52.333333
325,2,105.153846,49.000000
327,2,113.800000,51.800000
328,2,117.500000,50.500000
330,2,122.875000,44.125000
331,2,125.000000,49.800000
332,2,118.555556,47.666667
334,2,133.777778,45.555556
335,2,136.875000,49.875000
336,2,139.666667,48.250000
337,2,141.333333,54.666667
339,2,143.500000,45.500000
340,2,145.250000,45.750000
